gazetteer_name,place_type,source,match_status,match_method,match_score,osm_name,osm_type,osm_id,osm_class,lon,lat
宝尹两个居委会合并为宝带桥,bridge,regex,unmatched,,0,,,,,,
更名为宝带桥社区,community,regex,unmatched,,0,,,,,,
水文河,waterway,regex,unmatched,,0,,,,,,
南北纵向的骨干河道有古运河,waterway,regex,unmatched,,0,,,,,,
宝南中心河（原北为廿五港,waterway,regex,unmatched,,0,,,,,,
南为泥河田港）和古塘河,waterway,regex,unmatched,,0,,,,,,
东西纵向的骨干河道有泥河田港,waterway,regex,unmatched,,0,,,,,,
（原为宝尹南港河,waterway,regex,unmatched,,0,,,,,,
马桶港（原为宝南南港河）和苏南运河,waterway,regex,unmatched,,0,,,,,,
加之各自然村的内河,waterway,regex,unmatched,,0,,,,,,
形成了与运河,waterway,regex,unmatched,,0,,,,,,
澹台湖相沟通的河,waterway,regex,unmatched,,0,,,,,,
湖澹台湖,water,regex,matched,contains,0.75,澹台湖,relation,7359510,natural:water,120.6457856,31.2578039
曾围湖,water,regex,unmatched,,0,,,,,,
退耕还湖,water,regex,unmatched,,0,,,,,,
水位境域水位略低于太湖,water,regex,unmatched,,0,,,,,,
汇入京杭大运河,waterway,regex,matched,contains,0.714,京杭大运河,way,148701483,waterway:canal,120.6569172,31.1275905
水位变化受太湖,water,regex,unmatched,,0,,,,,,
境内河流为平原河,waterway,regex,unmatched,,0,,,,,,
般河,waterway,regex,unmatched,,0,,,,,,
全域河,waterway,regex,unmatched,,0,,,,,,
根据苏州地区水文站（觅渡桥,bridge,regex,unmatched,,0,,,,,,
土壤境域属滨湖,water,regex,unmatched,,0,,,,,,
宝尹2个行政村,settlement,regex,unmatched,,0,,,,,,
宝尹村所辖的10个村,settlement,regex,unmatched,,0,,,,,,
宝南村所辖的21个村,settlement,regex,unmatched,,0,,,,,,
植物资源境域为滨湖,water,regex,unmatched,,0,,,,,,
节自然村,settlement,regex,unmatched,,0,,,,,,
长洲县尹山乡中三十一都十二图下辖小村,settlement,regex,unmatched,,0,,,,,,
下田村,settlement,regex,unmatched,,0,,,,,,
沉家浜等3个自然村,settlement,regex,unmatched,,0,,,,,,
长洲县尹山乡中十三图下辖金家村,settlement,regex,unmatched,,0,,,,,,
朱塔浜3个自然村,settlement,regex,unmatched,,0,,,,,,
长洲县尹山乡十四图下辖泥河,waterway,regex,unmatched,,0,,,,,,
吴家角5个自然村,settlement,regex,unmatched,,0,,,,,,
吴县第十四区泥河田乡下辖泥河,waterway,regex,unmatched,,0,,,,,,
